PrintDate,Date,N_ms,Th,Tm,Ts,T1SP,T1inT,TempT1,T1RelayState,T2SP,T2inT,TempT2,T2RelayState,T3SP,T3inT,TempT3,T3RelayState,T4SP,T4inT,TempT4,T4RelayState,
20210619_CBASS2_RW6N,2021_June_19,457233,11,40,30,27.50,28.87,28.87,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,464866,11,40,43,27.50,28.87,28.87,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,478292,11,40,51,27.50,28.87,28.87,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,485928,11,40,59,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,493705,11,41,6,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,501337,11,41,14,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,508969,11,41,22,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.81,28.81,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,516606,11,41,29,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.69,28.69,CHL,
20210619_CBASS2_RW6N,2021_June_19,524238,11,41,37,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,531871,11,41,50,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,545301,11,41,58,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,552937,11,42,6,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,560569,11,42,13,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,568201,11,42,21,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.62,28.62,CHL,
20210619_CBASS2_RW6N,2021_June_19,575834,11,42,28,27.50,28.81,28.81,CHL,27.50,28.94,28.94,CHL,27.50,28.75,28.75,CHL,27.50,28.62,28.62,CHL,
