Treatment,Exp,Genotype,Tank,FvFm,Heatload30.5
37,CBASS,LK50,16,0,6.08
37,CBASS,LK7,16,0,6.08
37,CBASS,UK12,16,0,6.08
37,CBASS,UK19,16,0,6.08
37,CBASS,UK70,16,0,6.08
37,CBASS,UK76,16,0,6.08
37,CBASS,UK80,16,0,6.08
37,CBASS,LK31,17,0,6.08
37,CBASS,LK41,17,0,6.08
37,CBASS,LK50,17,0,6.08
37,CBASS,LK62,17,0,6.08
37,CBASS,LK7,17,0,6.08
37,CBASS,UK12,17,0,6.08
37,CBASS,UK19,17,0,6.08
37,CBASS,UK70,17,0,6.08
37,CBASS,UK76,17,0,6.08
37,CBASS,UK80,17,0,6.08
34.3,CBASS,LK31,18,0.28,5.4
34.3,CBASS,LK41,18,0.363,5.4
34.3,CBASS,LK50,18,0.21,5.4
34.3,CBASS,LK62,18,0.265,5.4
34.3,CBASS,LK7,18,0.441,5.4
34.3,CBASS,UK12,18,0.369,5.4
34.3,CBASS,UK19,18,0.359,5.4
34.3,CBASS,UK70,18,0.418,5.4
34.3,CBASS,UK76,18,0.431,5.4
34.3,CBASS,UK80,18,0.316,5.4
30.2,CBASS,LK31,19,0.612,0
30.2,CBASS,LK41,19,0.574,0
30.2,CBASS,LK50,19,0.607,0
30.2,CBASS,LK62,19,0.584,0
30.2,CBASS,LK7,19,0.585,0
30.2,CBASS,UK12,19,0.582,0
30.2,CBASS,UK19,19,0.574,0
30.2,CBASS,UK70,19,0.586,0
30.2,CBASS,UK76,19,0.602,0
30.2,CBASS,UK80,19,0.573,0
35.6,CBASS,LK31,20,0.13,5.73
35.6,CBASS,LK41,20,0.067,5.73
35.6,CBASS,LK50,20,0.083,5.73
35.6,CBASS,LK62,20,0.069,5.73
35.6,CBASS,LK7,20,0.098,5.73
35.6,CBASS,UK12,20,0.119,5.73
35.6,CBASS,UK19,20,0.091,5.73
35.6,CBASS,UK70,20,0.14,5.73
35.6,CBASS,UK76,20,0.089,5.73
35.6,CBASS,UK80,20,0.119,5.73
31.6,CBASS,LK31,21,0.598,4.28
31.6,CBASS,LK41,21,0.567,4.28
31.6,CBASS,LK50,21,0.595,4.28
31.6,CBASS,LK62,21,0.546,4.28
31.6,CBASS,LK7,21,0.585,4.28
31.6,CBASS,UK12,21,0.576,4.28
31.6,CBASS,UK19,21,0.549,4.28
31.6,CBASS,UK70,21,0.57,4.28
31.6,CBASS,UK76,21,0.579,4.28
31.6,CBASS,UK80,21,0.573,4.28
27.5,CBASS,LK31,22,0.587,0
27.5,CBASS,LK41,22,0.573,0
27.5,CBASS,LK50,22,0.585,0
27.5,CBASS,LK62,22,0.584,0
27.5,CBASS,LK7,22,0.585,0
27.5,CBASS,UK12,22,0.573,0
27.5,CBASS,UK19,22,0.56,0
27.5,CBASS,UK70,22,0.589,0
27.5,CBASS,UK76,22,0.583,0
27.5,CBASS,UK80,22,0.577,0
32.9,CBASS,LK31,23,0.568,4.92
32.9,CBASS,LK41,23,0.509,4.92
32.9,CBASS,LK50,23,0.548,4.92
32.9,CBASS,LK62,23,0.504,4.92
32.9,CBASS,LK7,23,0.456,4.92
32.9,CBASS,UK12,23,0.536,4.92
